2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency=866(MHz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phi,E Total. dB=-3.1415926536,-178,-176,-174,-172,-170,-168,-166,-164,-162,-160,-158,-156,-154,-152,-150,-148,-146,-144,-142,-140,-138,-136,-134,-132,-130,-128,-126,-124,-122,-120,-118,-116,-114,-112,-110,-108,-106,-104,-102,-100,-98,-96,-94,-92,-90,-88,-86,-84,-82,-80,-78,-76,-74,-72,-70,-68,-66,-64,-62,-60,-58,-56,-54,-52,-50,-48,-46,-44,-42,-40,-38,-36,-34,-32,-30,-28,-26,-24,-22,-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180
0,-16.79817415,-13.3660489,-10.26833822,-8.086484014,-6.624696514,-5.704520391,-5.199179208,-5.014876835,-5.069574288,-5.27782006,-5.542017552,-5.733124198,-5.72307109,-5.468665674,-5.051005007,-4.639866738,-4.402472308,-4.460881902,-4.891358624,-5.734349507,-6.979226396,-8.535771027,-10.15064639,-11.48117434,-12.44669758,-13.50675554,-15.40359078,-19.01674679,-21.68842138,-15.93851983,-11.02105523,-7.701314747,-5.34923235,-3.608748702,-2.259511578,-1.15675013,-0.208777139,0.624367451,1.344401686,1.944766553,2.413325436,2.758883149,3.010895253,3.198977744,3.356701285,3.489775364,3.587514821,3.621987355,3.56639322,3.415394248,3.164854814,2.830721845,2.421523503,1.90664122,1.272662808,0.470321687,-0.560373237,-1.863679938,-3.478141694,-5.420157601,-7.700986633,-10.35316671,-13.57165685,-17.82932853,-21.9127998,-18.199935,-13.54466608,-10.41772221,-8.364480854,-7.076227706,-6.367421775,-6.097791884,-6.128727643,-6.301339352,-6.454136761,-6.479004673,-6.370280106,-6.218351606,-6.141596393,-6.242531474,-6.605162526,-7.294866155,-8.360395281,-9.810178475,-11.51891929,-13.03774849,-13.58980232,-13.02430829,-12.09337437,-11.39780339,-11.15941108,-11.40628418,-12.02302854,-12.62759261,-12.53027161,-11.42486947,-9.857034543,-8.410326599,-7.323183965,-6.622920456,-6.272537903,-6.208828908,-6.345420336,-6.585278811,-6.818581762,-6.950817803,-6.951625758,-6.881385334,-6.866580429,-7.042930897,-7.530133638,-8.418008748,-9.771148739,-11.60460189,-13.822266,-16.04665291,-17.4259405,-16.97052699,-14.67898568,-11.59781782,-8.581880527,-5.967614853,-3.817325041,-2.091745248,-0.72413842,0.358995535,1.228769725,1.940309972,2.535508734,3.028490448,3.405345413,3.651360043,3.76699038,3.7536232,3.642990203,3.481935216,3.308523466,3.137637325,2.949046296,2.707346073,2.347786622,1.841779577,1.182796046,0.398446164,-0.466113934,-1.380713274,-2.361777181,-3.500008943,-4.944814269,-6.909975518,-9.687402551,-13.67143075,-18.14631917,-17.02652554,-13.60284336,-11.447231,-10.27393778,-9.634154614,-9.099932782,-8.371690423,-7.41814139,-6.435427092,-5.621210131,-5.084302201,-4.847087548,-4.878283394,-5.109073275,-5.448928409,-5.799251568,-6.084901144,-6.279351963,-6.412237339,-6.549245209,-6.779338364,-7.198698815,-7.915779653,-9.068086944,-10.8434519,-13.47000379,-16.62789061,-16.79817415
2,-16.79796384,-13.43515964,-10.32503514,-8.122643953,-6.642540092,-5.706710821,-5.186072215,-4.989701393,-5.032918275,-5.237702639,-5.501484162,-5.697673481,-5.698033342,-5.44894958,-5.034782257,-4.62731085,-4.394722501,-4.458517502,-4.898566796,-5.752809505,-7.011207054,-8.57755327,-10.19454871,-11.50360181,-12.43150785,-13.46189871,-15.33866089,-18.93316704,-21.73363372,-16.00954303,-11.06803123,-7.743085729,-5.39259407,-3.65241951,-2.300726715,-1.191732691,-0.235934275,0.604736344,1.330060452,1.931206557,2.398649023,2.74351951,2.998191916,3.188943522,3.351853602,3.497507417,3.594605304,3.627019523,3.573242356,3.416586465,3.165786718,2.827793748,2.416151311,1.912616848,1.281348332,0.479034005,-0.551753225,-1.857157781,-3.468609963,-5.398241662,-7.650448288,-10.26003974,-13.43269547,-17.71650372,-22.13842065,-18.25523926,-13.46151913,-10.31566484,-8.28286132,-7.028816012,-6.359028795,-6.126618218,-6.179160008,-6.351766831,-6.477420626,-6.462072509,-6.316206494,-6.143378457,-6.068735612,-6.190985687,-6.59245976,-7.328958792,-8.439051567,-9.920126017,-11.62193865,-13.06700954,-13.53554178,-12.95856738,-12.05508924,-11.38437982,-11.16061006,-11.42577421,-12.0685351,-12.6829762,-12.53248517,-11.3492828,-9.741290749,-8.304404853,-7.2500091,-6.59294975,-6.286777051,-6.258184253,-6.419040903,-6.663782056,-6.875869315,-6.96871834,-6.92863454,-6.831714647,-6.81710705,-7.015937931,-7.544088023,-8.480316189,-9.871059445,-11.71475659,-13.87972971,-15.97823517,-17.28822624,-16.99436145,-14.8311209,-11.72273072,-8.650414884,-6.00166203,-3.835166108,-2.105437795,-0.739102564,0.342091672,1.210468625,1.931132385,2.529706033,3.019465175,3.392058963,3.637506446,3.744330124,3.729796968,3.620953724,3.464827974,3.291518868,3.133015462,2.954508934,2.708128544,2.351028662,1.843653127,1.185837028,0.406024934,-0.450883629,-1.354505126,-2.328379808,-3.461264693,-4.906808851,-6.872882264,-9.644395591,-13.60886738,-18.07096129,-17.04378419,-13.64409217,-11.47756686,-10.28860242,-9.625156365,-9.072391202,-8.337220593,-7.389435024,-6.417590195,-5.615483121,-5.088827758,-4.857831252,-4.892987729,-5.126150482,-5.469185119,-5.825046938,-6.117556946,-6.318753833,-6.453934247,-6.587306495,-6.807846459,-7.212089848,-7.910098549,-9.039337542,-10.78250582,-13.3630029,-16.49367585,-16.79796384
4,-16.79782593,-13.50465871,-10.3821546,-8.161475585,-6.662763014,-5.709033321,-5.175199583,-4.963619206,-4.998558157,-5.196721736,-5.461155246,-5.664452446,-5.671396199,-5.429261068,-5.020105765,-4.614662148,-4.38685286,-4.456938262,-4.905673054,-5.770355563,-7.041419249,-8.617619833,-10.23398217,-11.52249057,-12.41937338,-13.41208464,-15.26302824,-18.84775202,-21.77531901,-16.07629782,-11.11692775,-7.787041424,-5.436107671,-3.69535811,-2.341004831,-1.226754748,-0.262711018,0.585648465,1.316610577,1.917955958,2.383586398,2.728067489,2.979849405,3.179146156,3.35369297,3.49952581,3.602548959,3.638865632,3.575606345,3.413982212,3.161204311,2.82534839,2.417585102,1.918938728,1.290399689,0.488003638,-0.544231601,-1.850972517,-3.45916159,-5.378449438,-7.60157735,-10.16497466,-13.29564874,-17.61394963,-22.36350588,-18.30348274,-13.37578633,-10.21662317,-8.201580357,-6.982055971,-6.351589471,-6.155326507,-6.231064952,-6.400271016,-6.499848884,-6.443392955,-6.262205141,-6.07145923,-5.996418694,-6.141495932,-6.577366213,-7.360904555,-8.517218039,-10.02760947,-11.71514121,-13.08939953,-13.48402693,-12.90056779,-12.01949432,-11.36764881,-11.16068485,-11.44604306,-12.11950044,-12.74253094,-12.53782725,-11.27052175,-9.626135573,-8.197663332,-7.176767542,-6.562977174,-6.301470951,-6.310118511,-6.495108252,-6.74294763,-6.933222116,-6.985880615,-6.903121686,-6.78145942,-6.765749641,-6.990509828,-7.556900436,-8.53729433,-9.971462755,-11.82805769,-13.93819795,-15.90593484,-17.15868645,-17.01372238,-14.98667358,-11.85286103,-8.720524073,-6.032884715,-3.851818792,-2.118723055,-0.754862067,0.324812377,1.19232266,1.9148622,2.517436879,3.011084878,3.385413037,3.624354927,3.731019067,3.710163824,3.599023176,3.441760981,3.281328723,3.129059588,2.95474193,2.71558108,2.354425969,1.846465458,1.189583556,0.4146118,-0.434365999,-1.327913732,-2.293510366,-3.424194323,-4.869854634,-6.834020721,-9.602625,-13.54667572,-18.00281777,-17.06642492,-13.68471846,-11.50743373,-10.30277245,-9.6183429,-9.046715955,-8.302593913,-7.360798589,-6.399629692,-5.609604873,-5.091674426,-4.867798016,-4.906464276,-5.145176972,-5.491303309,-5.852793824,-6.15219127,-6.358114655,-6.493559175,-6.623279416,-6.834262251,-7.22345536,-7.904722158,-9.008841934,-10.72001358,-13.25584393,-16.36120131,-16.79782593
6,-16.7980561,-13.5778349,-10.44282034,-8.200823591,-6.685338469,-5.715444761,-5.164482552,-4.941325146,-4.964371337,-5.157547892,-5.423165614,-5.631550427,-5.646735876,-5.40963539,-5.005319496,-4.60344778,-4.378403545,-4.455775663,-4.913509957,-5.789435053,-7.073916607,-8.659440504,-10.2748652,-11.54095308,-12.39867519,-13.36609224,-15.19266661,-18.7626132,-21.81171883,-16.14377595,-11.16165221,-7.829228253,-5.478190791,-3.73833193,-2.382681578,-1.261463044,-0.289083912,0.566267599,1.303534743,1.905754052,2.369721078,2.713006364,2.966885618,3.169595872,3.349590363,3.502109476,3.611110164,3.645707377,3.583906943,3.418194606,3.162272213,2.822474996,2.412756874,1.918183276,1.299830212,0.49666488,-0.536504141,-1.844594576,-3.451415877,-5.358229537,-7.551665388,-10.07374931,-13.16044129,-17.50303071,-22.58643377,-18.34347371,-13.29198898,-10.11455865,-8.120604218,-6.936725641,-6.346518866,-6.1839116,-6.280159047,-6.44976352,-6.522907521,-6.425178113,-6.208283286,-6.000081749,-5.926387544,-6.090928005,-6.562756411,-7.390592058,-8.594835534,-10.1294316,-11.79803915,-13.10114949,-13.43587435,-12.84858348,-11.99284016,-11.35659488,-11.16243902,-11.4699389,-12.17436934,-12.81218449,-12.54616572,-11.18886496,-9.508980043,-8.092633125,-7.103480432,-6.533069293,-6.315766501,-6.362282985,-6.569879255,-6.821662406,-6.990640339,-7.002286589,-6.876850953,-6.73064924,-6.715789029,-6.960251237,-7.568555819,-8.597644744,-10.07236292,-11.93715715,-13.99316745,-15.83509062,-17.03051533,-17.02924596,-15.14030542,-11.98096406,-8.788288904,-6.065413915,-3.868282613,-2.132824764,-0.769558626,0.308608891,1.182406673,1.898989191,2.505737271,3.003363358,3.373510791,3.612284897,3.709426935,3.685527603,3.576696979,3.425102102,3.271605889,3.125802768,2.955651471,2.71781204,2.358182256,1.84867202,1.192942639,0.422550862,-0.416378245,-1.300929839,-2.259405577,-3.38671521,-4.832959164,-6.797985387,-9.560083086,-13.48930345,-17.93456188,-17.08792075,-13.72492934,-11.54038452,-10.31643345,-9.610909341,-9.02050223,-8.268667073,-7.332048461,-6.381251299,-5.602974891,-5.094337348,-4.877588203,-4.921377794,-5.162509479,-5.51353616,-5.8788847,-6.1850133,-6.395506202,-6.535041578,-6.659119015,-6.860608185,-7.234903615,-7.895234807,-8.976567042,-10.65907066,-13.15141523,-16.23041014,-16.7980561
8,-16.79840296,-13.65166472,-10.5069724,-8.245301095,-6.708301342,-5.720691732,-5.155994554,-4.917625908,-4.931438157,-5.119105237,-5.384224042,-5.597084228,-5.620519357,-5.391756454,-4.988829146,-4.590600858,-4.370282993,-4.455958477,-4.921930428,-5.808466946,-7.104644658,-8.701276107,-10.3146314,-11.55550909,-12.38104653,-13.31534168,-15.11710263,-18.67677579,-21.84305623,-16.21236456,-11.20834227,-7.869616356,-5.520408393,-3.781341692,-2.42305005,-1.29493897,-0.31503099,0.547479418,1.291118407,1.894260489,2.355624364,2.697906966,2.954001667,3.159883152,3.34593542,3.511527392,3.620439498,3.653246237,3.588136118,3.419611366,3.157799507,2.820111615,2.414811038,1.925240384,1.301602329,0.505602779,-0.528256082,-1.837496024,-3.442596849,-5.336470905,-7.504512363,-9.983327697,-13.03122418,-17.39607997,-22.80798077,-18.37581208,-13.20167587,-10.01557143,-8.042321633,-6.892057733,-6.33877887,-6.212361175,-6.331768417,-6.500082183,-6.545112029,-6.406333469,-6.156142737,-5.927526581,-5.857459362,-6.040590889,-6.548171039,-7.422373596,-8.669342703,-10.23134293,-11.87754152,-13.11022556,-13.385285,-12.80336908,-11.96868047,-11.34434902,-11.16111052,-11.49265535,-12.23492559,-12.88650795,-12.55379549,-11.10773695,-9.39289779,-7.98491164,-7.032266547,-6.505110824,-6.330244262,-6.414188274,-6.647145205,-6.900259167,-7.04811045,-7.016224958,-6.849506861,-6.679298961,-6.663978588,-6.93265653,-7.578039677,-8.654924156,-10.1707612,-12.04556714,-14.04032764,-15.76160274,-16.90386484,-17.04672436,-15.29698284,-12.11064473,-8.855117298,-6.096610342,-3.884538902,-2.145530585,-0.784546296,0.292071783,1.16465285,1.891071517,2.501669289,2.996321302,3.368263453,3.600587135,3.695525378,3.665897829,3.554521931,3.4086433,3.255955266,3.123168159,2.957248768,2.720795267,2.362220797,1.851943667,1.19745833,0.431536454,-0.399179907,-1.274630371,-2.225080718,-3.349196072,-4.796132791,-6.763175948,-9.521401934,-13.43240034,-17.86677778,-17.11479185,-13.76904151,-11.57291105,-10.3326337,-9.605661971,-8.996254502,-8.234586472,-7.301749769,-6.36396088,-5.595272019,-5.09602753,-4.886242644,-4.935020111,-5.180130158,-5.53590417,-5.906954382,-6.217930227,-6.43483915,-6.574455287,-6.694870239,-6.884905886,-7.244330984,-7.888268379,-8.944983676,-10.59672274,-13.0469437,-16.10188551,-16.79840296
10,-16.79797053,-13.73306503,-10.57480853,-8.288054209,-6.733697483,-5.72958364,-5.148080455,-4.898172815,-4.900227944,-5.081401767,-5.347130441,-5.564896155,-5.596261663,-5.372177712,-4.973887203,-4.578792127,-4.363027003,-4.454001241,-4.929582838,-5.828154598,-7.135904964,-8.743143414,-10.35239065,-11.56950782,-12.3587186,-13.25999339,-15.04696888,-18.58351464,-21.87117878,-16.28161459,-11.25541623,-7.910194719,-5.561165189,-3.82355096,-2.463286045,-1.329246941,-0.341496781,0.529310365,1.272113276,1.878274366,2.341210938,2.683692073,2.941216502,3.156836798,3.348964906,3.515303366,3.630411148,3.667340191,3.598270897,3.422343476,3.158672499,2.81796778,2.417403961,1.925243441,1.311833581,0.514113655,-0.520413648,-1.831223069,-3.433801425,-5.316691184,-7.457055619,-9.893759393,-12.90775701,-17.28757717,-23.02636647,-18.40049552,-13.11363454,-9.919629608,-7.966651724,-6.846801643,-6.333420698,-6.242358582,-6.383220966,-6.548567509,-6.567717078,-6.388512195,-6.104073542,-5.858923243,-5.786696119,-5.989943918,-6.533126502,-7.451895895,-8.743145862,-10.32410607,-11.94620407,-13.10541291,-13.33873781,-12.76723918,-11.94790461,-11.3330699,-11.15884061,-11.51621354,-12.29951825,-12.96860659,-12.56461129,-11.02744227,-9.27539739,-7.881392464,-6.961087219,-6.475309114,-6.344699768,-6.464424406,-6.722487953,-6.979516201,-7.103783422,-7.031119884,-6.821293544,-6.627659837,-6.61196722,-6.90309455,-7.588341584,-8.710789831,-10.26949885,-12.15319918,-14.08404379,-15.68562098,-16.78490292,-17.06584482,-15.45707961,-12.24193424,-8.924324754,-6.127511277,-3.900551592,-2.158754014,-0.798899904,0.276650253,1.147231051,1.876084285,2.491176592,2.989975734,3.35810876,3.589636941,3.675454497,3.645963233,3.532515424,3.386240194,3.247257815,3.114839967,2.959548334,2.724893157,2.366020958,1.855137856,1.202028743,0.441588304,-0.381460409,-1.246838544,-2.190543477,-3.311258365,-4.758793452,-6.727688566,-9.48450143,-13.38012393,-17.79921934,-17.13518157,-13.81281062,-11.60507761,-10.34832196,-9.59980178,-8.970822406,-8.201165077,-7.272953739,-6.343821816,-5.588333302,-5.098348747,-4.894706554,-4.949644046,-5.198999693,-5.556616109,-5.933342935,-6.250933955,-6.472200193,-6.611782149,-6.728480943,-6.909135073,-7.253919478,-7.877195971,-8.911709146,-10.53320022,-12.9452465,-15.97597336,-16.79797053
12,-16.79794731,-13.81171928,-10.64347549,-8.335948813,-6.75946588,-5.738668437,-5.141947126,-4.878372507,-4.869167448,-5.046012102,-5.310721801,-5.533245594,-5.570448968,-5.352628845,-4.958850274,-4.567261581,-4.355642599,-4.453374996,-4.93863277,-5.847790885,-7.168885866,-8.784945884,-10.38892766,-11.57959172,-12.33188913,-13.20853151,-14.97185093,-18.49796322,-21.89450166,-16.34648713,-11.29816338,-7.950948543,-5.602818269,-3.866605469,-2.502470716,-1.363292345,-0.366527427,0.510739707,1.25958404,1.865656965,2.327605229,2.668965042,2.928211189,3.147756952,3.346103751,3.519703437,3.641190371,3.67653503,3.604416872,3.425513718,3.154361046,2.822169273,2.420346089,1.9330961,1.322468341,0.523942214,-0.512347922,-1.8242069,-3.425574493,-5.296668169,-7.409308826,-9.80766307,-12.78168036,-17.17718401,-23.24112787,-18.41903007,-13.02378755,-9.820950949,-7.891338295,-6.806108596,-6.329702621,-6.272213752,-6.434500636,-6.596508324,-6.588175067,-6.370093541,-6.052092088,-5.789128407,-5.720459027,-5.941832571,-6.518590644,-7.481324205,-8.81626075,-10.4166264,-12.00400971,-13.09839261,-13.29236623,-12.73404166,-11.93477572,-11.32539633,-11.16033778,-11.54342057,-12.3732043,-13.05887265,-12.57795145,-10.94186585,-9.159504057,-7.775486145,-6.890044979,-6.447472202,-6.359188361,-6.516788954,-6.798417531,-7.059442721,-7.159482958,-7.044814494,-6.792231623,-6.575357799,-6.559756446,-6.873341882,-7.595439492,-8.765884159,-10.36546434,-12.25616134,-14.12428599,-15.61153752,-16.66715047,-17.07506388,-15.61548536,-12.37092926,-8.988584804,-6.155456773,-3.915313375,-2.171102584,-0.813058528,0.260617846,1.138038761,1.869106505,2.481317042,2.984343586,3.348717573,3.574510312,3.659735952,3.626087539,3.510448139,3.370396451,3.239117642,3.113628563,2.962800831,2.729416783,2.371153157,1.859327271,1.20738269,0.452168592,-0.362403097,-1.218642902,-2.155598484,-3.27458846,-4.723020312,-6.693107497,-9.44522765,-13.32826094,-17.73822458,-17.15471695,-13.85611151,-11.6403175,-10.36351834,-9.593316004,-8.947466809,-8.16880802,-7.244054792,-6.324761471,-5.579723877,-5.099674992,-4.902410099,-4.962973095,-5.216484609,-5.579205085,-5.961721945,-6.284043178,-6.509547231,-6.65099037,-6.761982925,-6.931283384,-7.261431468,-7.866463398,-8.879119685,-10.46821814,-12.84344417,-15.85145976,-16.79794731
14,-16.79823103,-13.89853509,-10.7130461,-8.384501817,-6.787660685,-5.750061902,-5.137992742,-4.859701137,-4.840885457,-5.010790374,-5.274993427,-5.503447578,-5.546576125,-5.334811681,-4.943740507,-4.555235225,-4.348620125,-4.454078,-4.946895374,-5.86736838,-7.20064831,-8.824957073,-10.42511597,-11.58904715,-12.30427593,-13.15266297,-14.89730152,-18.40561958,-21.91311529,-16.40697428,-11.34298702,-7.98985783,-5.644577408,-3.907458244,-2.54240837,-1.397044554,-0.392050197,0.492827205,1.24597284,1.8534261,2.314276903,2.655156757,2.915342334,3.139009352,3.343834583,3.52473921,3.652639194,3.686716099,3.611025932,3.428694669,3.155845737,2.820808134,2.416812768,1.941442781,1.325497488,0.532337658,-0.503727197,-1.817995397,-3.416241782,-5.277287516,-7.362334067,-9.722319583,-12.66517654,-17.07181798,-23.45137973,-18.42659811,-12.93233404,-9.728250649,-7.816449467,-6.763483702,-6.325060421,-6.303613384,-6.485596717,-6.645264214,-6.60649818,-6.351086313,-6.000202529,-5.721522171,-5.652976979,-5.893918395,-6.504054426,-7.510630271,-8.886035249,-10.49956362,-12.05456009,-13.08199502,-13.24708436,-12.70486087,-11.9249993,-11.31687209,-11.16166632,-11.56957226,-12.4511831,-13.15729884,-12.58840459,-10.85767308,-9.042868865,-7.673964788,-6.821201178,-6.421623646,-6.37364115,-6.567465388,-6.872966879,-7.137270066,-7.212285081,-7.054834122,-6.762341476,-6.522606627,-6.507388826,-6.843395559,-7.603308798,-8.818605475,-10.45848931,-12.3581212,-14.16123757,-15.53593638,-16.55675354,-17.09268289,-15.77688919,-12.50138026,-9.054151946,-6.184606007,-3.929792849,-2.182977022,-0.826550458,0.245182263,1.1211146,1.855071416,2.472107315,2.972960875,3.345390641,3.565118661,3.643581982,3.605947057,3.488593033,3.354976957,3.23156391,3.1130991,2.966789504,2.734724008,2.375680562,1.863585578,1.212825047,0.461879009,-0.343788699,-1.190039162,-2.121829127,-3.237868028,-4.687880966,-6.660503493,-9.4087466,-13.27681361,-17.67759194,-17.17985413,-13.89896225,-11.67167209,-10.38126978,-9.589090785,-8.923726492,-8.135817508,-7.213612521,-6.305599436,-5.571857051,-5.100823093,-4.910497043,-4.975705443,-5.23375077,-5.600115991,-5.988406938,-6.31726272,-6.546873629,-6.688115725,-6.793317876,-6.953372707,-7.269085342,-7.853809262,-8.844909855,-10.40758668,-12.74132786,-15.72958632,-16.79823103
16,-16.79803247,-13.98256789,-10.78650444,-8.433598499,-6.818271464,-5.762084633,-5.134640877,-4.842718996,-4.812758141,-4.976316643,-5.239426881,-5.472482451,-5.522877801,-5.317026853,-4.928530995,-4.543503056,-4.342432854,-4.453220769,-4.957254883,-5.888515865,-7.232405798,-8.864916024,-10.4599914,-11.59772372,-12.27594133,-13.09667291,-14.8182052,-18.32108742,-21.92913901,-16.4738464,-11.38809611,-8.030110177,-5.684048108,-3.949673872,-2.581539821,-1.429365821,-0.416098862,0.475599293,1.233408287,1.841326488,2.301792463,2.641846094,2.902938495,3.130611178,3.342015837,3.530402809,3.664929309,3.697381934,3.618454065,3.432793917,3.157475354,2.819698127,2.420663159,1.942765534,1.336975326,0.542066928,-0.495810735,-1.811016922,-3.408827254,-5.256390417,-7.317999319,-9.640318945,-12.54598394,-16.97100985,-23.65547168,-18.42623823,-12.84357621,-9.632953349,-7.744154523,-6.722811755,-6.32102353,-6.333177741,-6.536495573,-6.690614522,-6.625188064,-6.333170082,-5.950892366,-5.655076735,-5.587642385,-5.844446408,-6.489544369,-7.537623883,-8.952394279,-10.57894707,-12.09419839,-13.05705041,-13.20518797,-12.68417432,-11.91736614,-11.31383872,-11.16030008,-11.59950006,-12.53337502,-13.26439952,-12.60764166,-10.77507026,-8.928215941,-7.572593639,-6.752591631,-6.393954589,-6.388126568,-6.618342716,-6.950072596,-7.214570598,-7.266137046,-7.065784597,-6.73165259,-6.468192273,-6.454854792,-6.811503703,-7.610002966,-8.871360505,-10.55165126,-12.45900354,-14.19061514,-15.45889912,-16.4476926,-17.10030116,-15.93682138,-12.62931328,-9.117090949,-6.212265584,-3.944015494,-2.19532811,-0.839824453,0.231164405,1.104453026,1.84152738,2.463569624,2.968815374,3.337244264,3.551620607,3.627849889,3.586237892,3.472770368,3.340002466,3.218157883,3.113266817,2.971277693,2.741189536,2.381563794,1.868277067,1.218371761,0.473247809,-0.323820456,-1.162102063,-2.087426009,-3.202395074,-4.653701411,-6.627193921,-9.374983388,-13.2298894,-17.61721129,-17.1989469,-13.94154831,-11.70620043,-10.39854709,-9.5869662,-8.901173654,-8.103907666,-7.184650032,-6.285973794,-5.562954831,-5.10025139,-4.918384287,-4.988721768,-5.251042688,-5.622874071,-6.015231166,-6.350583663,-6.584213239,-6.723103593,-6.82454867,-6.973352139,-7.274711421,-7.84158471,-8.80896249,-10.34303815,-12.64213706,-15.60978873,-16.79803247
18,-16.79810992,-14.071212,-10.86403591,-8.48578799,-6.84933368,-5.776004755,-5.131431675,-4.826368949,-4.786852967,-4.944092873,-5.206173235,-5.44335206,-5.499346859,-5.297520929,-4.914906266,-4.531265538,-4.334666018,-4.454280825,-4.965342324,-5.908707211,-7.264142622,-8.90485939,-10.49280582,-11.60239105,-12.24702426,-13.04048118,-14.74448449,-18.23018936,-21.94009514,-16.53012169,-11.42760964,-8.06733469,-5.724390963,-3.990999233,-2.620189737,-1.461340338,-0.440612177,0.458878884,1.220554983,1.829387669,2.289628805,2.628517225,2.890375908,3.122579769,3.347077115,3.542968902,3.6718488,3.709059461,3.627067713,3.437371739,3.159262058,2.818855641,2.424896224,1.952038418,1.348865765,0.551238295,-0.488586563,-1.804821905,-3.400034845,-5.236243743,-7.272325008,-9.558979667,-12.43597116,-16.86270819,-23.85417269,-18.41824191,-12.74948261,-9.540847752,-7.672228706,-6.684050803,-6.31859843,-6.362579345,-6.587184086,-6.738238602,-6.64458482,-6.31468672,-5.900843171,-5.590074014,-5.522744303,-5.797480868,-6.473138819,-7.566686546,-9.017883654,-10.65476892,-12.12668209,-13.03072427,-13.16437572,-12.66896883,-11.91656337,-11.30802129,-11.16028578,-11.63031233,-12.62218926,-13.37697238,-12.62410174,-10.68818795,-8.813243005,-7.471390539,-6.685905885,-6.368420165,-6.402575363,-6.669440616,-7.023763913,-7.293674872,-7.319986371,-7.07432172,-6.700198148,-6.414937472,-6.402181294,-6.781197371,-7.614452332,-8.921660762,-10.64478906,-12.55089125,-14.22108983,-15.38713047,-16.33957334,-17.11002764,-16.10012354,-12.75853488,-9.178707319,-6.23953215,-3.957971406,-2.206478835,-0.852881207,0.216912714,1.096362334,1.836060599,2.462353898,2.964966919,3.329901684,3.543848767,3.612127917,3.566300422,3.451429974,3.32549382,3.211834799,3.114016066,2.976517255,2.747729564,2.386811829,1.872941059,1.225133577,0.485731382,-0.304292133,-1.133761488,-2.053025386,-3.166865328,-4.619558544,-6.594796171,-9.341428438,-13.18349887,-17.56350036,-17.2236062,-13.98382485,-11.74390957,-10.41532043,-9.584294531,-8.879137587,-8.072589886,-7.154133717,-6.265072424,-5.553265006,-5.099511155,-4.92399437,-4.999537298,-5.266649478,-5.64394958,-6.042203123,-6.382063325,-6.619559316,-6.76001793,-6.853624023,-6.993278188,-7.27832046,-7.827396162,-8.773743239,-10.27984135,-12.54270873,-15.49200598,-16.79810992
